id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
1,AD,9.0,5.0,6.0,61.1,False,True,0.83,-0.081,0.093,0.3,1.0,0.96,0.0,0.0,0.762,0.763,0.556,0.25,—,—,0.359,0.187,0.382,Hastalar arasi tutarsiz (CV skoru=0.36); Tek hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
2,AM,50.0,32.0,24.0,56.0,False,False,1.33,0.272,0.769,0.8,0.774,0.684,0.125,0.125,0.766,0.8,0.267,0.24,—,—,0.718,0.479,0.63,T1 outlier orta (0.12),TIER-1,Guvenilir — uzman dogrulamasi onerilir
3,AV,292.0,187.0,205.0,67.1,False,False,0.91,0.482,0.626,0.6,0.687,0.664,0.123,0.215,0.567,0.43,0.277,0.248,—,—,0.736,0.657,0.827,T1 outlier yuksek (0.21),TIER-1,Guvenilir — uzman dogrulamasi onerilir
4,CL,884.0,610.0,564.0,66.4,False,False,1.08,0.832,0.828,0.3,0.391,0.378,0.2,0.199,0.322,0.306,0.202,0.147,0.998,0.998,0.8,0.528,0.798,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
5,CM,308.0,267.0,253.0,84.4,False,False,1.06,1.209,1.202,0.3,0.825,0.789,0.015,0.024,0.15,0.15,0.353,0.347,0.999,0.999,0.852,0.623,0.865,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
6,CeM,154.0,104.0,88.0,62.3,False,False,1.18,0.67,0.77,0.6,0.599,0.648,0.086,0.182,0.631,0.511,0.186,0.251,—,—,0.696,0.467,0.717,T1 outlier yuksek (0.18),TIER-1,Guvenilir — uzman dogrulamasi onerilir
7,Hb,51.0,19.0,22.0,40.2,False,False,0.86,0.079,-0.213,0.5,0.857,0.767,0.263,0.091,0.997,0.972,0.396,0.306,—,—,0.622,0.45,0.551,T1 outlier yuksek (0.26),TIER-2,Belirsiz  — dikkatli inceleme gerekli
8,LD,164.0,121.0,101.0,67.7,False,False,1.2,0.44,0.558,0.2,0.56,0.583,0.017,0.04,0.476,0.384,0.14,0.194,—,—,0.606,0.445,0.743,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
9,LGNmc,77.0,59.0,70.0,83.8,False,True,0.84,0.857,0.806,0.2,0.616,0.523,0.051,0.057,0.701,0.624,0.205,0.182,—,—,0.826,0.378,0.58,Tek hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
10,LGNpc,185.0,161.0,176.0,91.1,False,False,0.91,1.258,1.259,0.6,0.665,0.688,0.162,0.125,0.263,0.269,0.261,0.286,—,—,0.852,0.612,0.818,T1 outlier yuksek (0.16),TIER-1,Guvenilir — uzman dogrulamasi onerilir
11,LP,448.0,327.0,505.0,92.9,False,False,0.65,1.062,0.973,0.6,0.677,0.683,0.055,0.204,0.135,0.215,0.206,0.23,0.999,0.998,0.872,0.666,0.851,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
12,Li,81.0,51.0,58.0,67.3,False,False,0.88,0.253,0.447,1.5,0.733,0.721,0.0,0.035,0.652,0.766,0.202,0.151,—,—,0.635,0.536,0.702,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
13,MAX_VOLUME,10020.0,7545.0,7505.0,75.1,False,False,1.01,1.058,1.017,0.1,0.671,0.662,0.128,0.138,0.223,0.235,0.283,0.271,0.994,0.995,0.873,0.86,0.923,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
14,MDmc,207.0,114.0,129.0,58.7,False,False,0.88,0.598,0.674,0.1,0.608,0.639,0.079,0.077,0.466,0.515,0.325,0.367,—,—,0.546,0.543,0.778,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
15,MDpc,1035.0,689.0,679.0,66.1,False,False,1.01,0.938,0.905,0.2,0.673,0.684,0.119,0.131,0.258,0.238,0.399,0.344,0.998,0.998,0.79,0.705,0.864,T1 outlier orta (0.13),TIER-1,Guvenilir — uzman dogrulamasi onerilir
16,MGN,213.0,186.0,223.0,96.0,False,False,0.83,0.818,0.011,0.9,0.747,0.717,0.263,0.0,0.411,0.626,0.291,0.282,—,—,0.777,0.649,0.831,T1 outlier yuksek (0.26),TIER-1,Guvenilir — uzman dogrulamasi onerilir
17,MV,16.0,6.0,6.0,37.5,True,True,1.0,-0.106,0.118,0.7,0.889,0.931,0.0,0.0,0.934,0.972,0.167,0.333,—,—,0.566,0.245,0.223,Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
18,Pf,187.0,133.0,127.0,69.5,False,False,1.05,0.963,1.129,0.5,0.616,0.617,0.263,0.126,0.474,0.418,0.244,0.203,—,—,0.847,0.577,0.809,T1 outlier yuksek (0.26),TIER-1,Guvenilir — uzman dogrulamasi onerilir
19,Po,65.0,60.0,68.0,98.5,False,False,0.88,1.146,1.086,0.9,0.788,0.774,0.017,0.073,0.097,0.17,0.343,0.315,—,—,0.87,0.489,0.709,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
20,PuA,167.0,151.0,162.0,93.7,False,False,0.93,1.159,1.148,0.2,0.696,0.74,0.073,0.018,0.091,0.087,0.315,0.301,—,—,0.876,0.491,0.8,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
21,PuI,59.0,52.0,65.0,99.2,False,False,0.8,1.186,1.336,0.2,0.779,0.827,0.077,0.061,0.293,0.255,0.289,0.361,—,—,0.799,0.561,0.715,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
22,PuL,388.0,351.0,376.0,93.7,False,False,0.93,1.239,1.326,0.4,0.766,0.776,0.094,0.019,0.078,0.101,0.429,0.329,—,—,0.894,0.733,0.904,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
23,PuM,1832.0,1465.0,1442.0,79.3,False,False,1.02,0.797,0.766,0.8,0.691,0.695,0.193,0.208,0.242,0.297,0.323,0.281,0.998,0.998,0.83,0.801,0.885,T1 outlier yuksek (0.21),TIER-1,Guvenilir — uzman dogrulamasi onerilir
24,Pv,7.0,6.0,8.0,100.0,True,False,0.75,0.335,0.725,0.8,1.0,0.978,0.0,0.0,0.545,0.396,0.2,0.8,—,—,0.266,0.233,0.391,Hastalar arasi tutarsiz (CV skoru=0.27); Tek hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
25,RN,382.0,442.0,439.0,115.3,False,False,1.01,1.578,1.586,0.5,0.818,0.805,0.26,0.415,0.064,0.058,0.486,0.439,0.999,0.999,0.87,0.756,0.877,T1 outlier yuksek (0.41),TIER-1,Guvenilir — uzman dogrulamasi onerilir
26,SG,59.0,47.0,56.0,87.3,False,False,0.84,0.926,0.257,1.1,0.834,0.849,0.255,0.0,0.379,0.612,0.376,0.373,—,—,0.824,0.518,0.676,T1 outlier yuksek (0.26),TIER-1,Guvenilir — uzman dogrulamasi onerilir
27,STh,239.0,248.0,252.0,104.6,False,False,0.98,1.554,1.536,0.1,0.723,0.722,0.117,0.111,0.092,0.106,0.298,0.269,—,0.999,0.908,0.654,0.866,T1 outlier orta (0.12),TIER-1,Guvenilir — uzman dogrulamasi onerilir
28,VAmc,74.0,45.0,63.0,73.0,True,True,0.71,1.358,1.298,1.0,0.651,0.611,0.022,0.064,0.177,0.172,0.208,0.158,—,—,0.868,0.368,0.43,Her iki hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
29,VApc,565.0,396.0,409.0,71.2,False,False,0.97,1.441,1.4,0.8,0.641,0.665,0.109,0.037,0.194,0.135,0.24,0.248,—,—,0.894,0.624,0.855,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
30,VLa,319.0,344.0,274.0,96.9,False,False,1.26,1.477,1.411,0.9,0.732,0.714,0.0,0.0,0.073,0.082,0.294,0.282,—,—,0.87,0.469,0.821,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
31,VLpd,760.0,627.0,608.0,81.2,False,False,1.03,1.213,1.19,0.8,0.691,0.719,0.088,0.107,0.185,0.149,0.377,0.352,0.998,0.998,0.873,0.667,0.865,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
32,VLpv,743.0,703.0,723.0,96.0,False,False,0.97,1.394,1.342,0.5,0.595,0.647,0.081,0.055,0.084,0.085,0.227,0.234,0.998,0.998,0.883,0.568,0.853,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
33,VM,156.0,143.0,140.0,90.7,False,False,1.02,1.489,1.486,0.3,0.658,0.662,0.035,0.079,0.095,0.117,0.238,0.215,0.999,0.999,0.876,0.463,0.782,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
34,VPI,69.0,78.0,81.0,115.2,False,False,0.96,1.365,1.377,0.4,0.785,0.781,0.038,0.049,0.073,0.098,0.371,0.321,—,—,0.881,0.499,0.717,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
35,VPLa,117.0,149.0,113.0,112.0,False,False,1.32,1.349,1.354,0.2,0.699,0.683,0.02,0.026,0.055,0.05,0.323,0.377,—,—,0.867,0.328,0.686,Sag sinir belirsiz (grad=0.050),TIER-1,Guvenilir — uzman dogrulamasi onerilir
36,VPLp,553.0,557.0,498.0,95.4,False,False,1.12,1.266,1.239,0.1,0.604,0.592,0.054,0.036,0.085,0.092,0.256,0.194,0.999,—,0.901,0.579,0.859,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
37,VPM,186.0,202.0,188.0,104.8,False,False,1.07,1.419,1.412,0.1,0.698,0.625,0.069,0.048,0.082,0.097,0.234,0.174,—,—,0.888,0.444,0.804,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
38,global,10020.0,7545.0,7501.0,75.1,False,False,1.01,1.058,1.017,0.1,0.671,0.662,0.128,0.138,0.223,0.235,0.283,0.271,0.994,0.995,0.873,0.86,0.923,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
39,mtt,57.0,47.0,47.0,82.5,True,True,1.0,1.359,1.391,0.5,0.557,0.594,0.0,0.085,0.21,0.18,0.112,0.103,—,—,0.838,0.329,0.399,Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
40,sPf,14.0,18.0,9.0,96.4,True,True,2.0,1.343,1.563,1.0,0.779,0.941,0.0,0.444,0.22,0.09,0.141,0.075,—,—,0.807,0.219,0.294,T1 outlier yuksek (0.44); Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
41,thalamus_body,339.0,196.0,236.0,63.7,False,False,0.83,0.829,0.056,0.9,0.74,0.728,0.265,0.0,0.406,0.617,0.272,0.298,—,—,0.787,0.635,0.825,T1 outlier yuksek (0.27),TIER-1,Guvenilir — uzman dogrulamasi onerilir
